ecg,eeg,gsr
128 128 253 255 255 1 255 1 1 1 15 254 1 1 1 1 1 255 254 255 224 2 254 255 255 255 254 1 1 1 1 1 254 1 1 2 1 251 2 249 255 254 255 0 1 254 254 255 1 1 1 1 255 1 254 254 0 1 2 1 255 255 255 1 25 1 1 31 1 255 1 1 0 1 1 255 136 255 254 1 71 1 255 255 255 255 1 1 1 1 255 0 255 1 0 252 1 253 255 255 255 1 0 255 255 255 1 255 2 1 1 1 1 254 255 1 1 3 254 255 255 116 1 1 0 1 254 255 1 1 1 1 1 233 1 254 255 1 255 2 255 254 255 253 1 1 1 1 255 0 4 1 1 255 1 255 245 254 254 1 1 255 59 254 1 254 1 0 1 2 1 255 255 2 0 1 254 255 252 255 1 0 1 2 1 232 254 1 1 2 0 1 255 254 255 255 1 1 1 255 114 255 255 1 25 0 1 255 254 52 0 1 1 1 221 1 255 255 1 0 2 254 254 255 255 255 0 1 1 255 255 1 1 1 2 0 133 255 255 255 1 183 1 255 255 1 255 1 1 1 1 16 254 2 1 1 1 1 255 254 254 254 1 1 0 255 255 246 1 0 2 1 1 255 255 254 206 2 1 42 255 255 254 1 1 1 1 87 255 0 1 1 1 1 254 254 2 254 2 1 1 254 255 5 1 1 1 0 255 254 255 255 1 255 1 254 255 1 255 0 1 1 1 1 255 1 1 1 1 1 243 255 255 254 255 1 255 202 255 255 0 1 1 1 0 1 255 254 0 1 0 255 2 255 255 255 254 0 1 255 255 233 0 1 1 1 253 2 255 252 1 0 1 255 255 254 255 1 255 1 2 1 1 230 1 1 0 1 1 255 254 255 255 1 0 3 237 255 254 1 0 1 1 1 253 0 1 1 1 1 2 253 55 254 254 1 254 1 255 254 255 94 1 1 1 1 255 2 255 1 0 21 1 254 255 255 254 1 254 1 255 254 255 112 1 1 1 1 254 1 0 1 1 172 1 254 254 1 255 1 1 255 255 254 2 1 1 1 254 10 255 255 1 255 12 255 255 255 255 1 1 1 1 255 1 141 1 1 254 1 255 255 254 255 1 255 255 254 248 246 0 1 1 1 1 254 255 1 0 1 1 255 254 255 255 1 0 1 1 255 254 1 1 1 2 1 255 184 255 255 1 1 231 255 254 255 2 1 0 1 1 254 1 0 1 1 255 0 255 255 12 255 1 2 255 253 254 1 255 1 1 1 1 254 255 1 1 0 255 1 255 255 1 254 1 2 255 255 254 2 1 1 1 120 1 255 255 254 1 1 1 254 255 255 236 255 1 2 1 158 255 255 1 1 1 1 1 255 255 255 254 1 1 1 255 254 255 1 1 1 0 1 255 1 1 1 0 1 255 254 164 255 0 0 1 255 255 1 0 1 1 1 233 251 255 255 1 1 0 255 255 255 254 1 255 1 1 243 1 254 1 1 1 2 230 255 195 254 1 148 1 24 255 250 254 2 1 1 1 1 255 1 1 1 1 0 1 255 254 254 3 1 255 254 255 254 255 1 1 1 1 1 253 0 1 0 1 34 1 255 255 254 254 1 1 255 255 250 1 235 1 1 254 1 252 255 1 1 1 255 255 254 255 1 254 1 0 1 255 255 1 1 1 1 1 138 1 255 255 1 255 1 254 255 254 251 1 1 2 1 69 255 1 1 1 1 254 1 254 254 254 255 1 1 254 254 255 1 255 1 1 0 2 1 254 255 1 1 4 241 166 254 255 1 180 1 2 254 254 254 1 1 0 1 254 1 207 255 0 220 1 255 255 255 254 0 1 1 1 1 1 254 1 1 1 1 1 255 1 254 254 1 1 1 255 254 255 248 1 1 0 1 254 2 255 1 2 98 1 13 254 254 255 1 1 254 254 255 1 1 1 1 2 1 111 255 254 1 1 1 254 245 255 94 1 1 1 1 255 1 255 1 1 1 1 1 255 255 254 255 0 237 1 254 254 1 142 1 2 1 1 255 254 0 1 1 254 1 255 254 1 255 1 2 255 255 254 0 1 1 0 1 1 255 255 255 1 0 1 255 255 254 138 254 1 1 1 254 255 253 1 1 0 1 246 156 255 254 1 1 1 255 255 255 255 0 141 1 1 237 1 255 1 0 1 1 255 254 254 254 2 254 3 255 255 0 254 1 0 1 1 1 255 1 124 1 1 1 2 255 254 255 255 1 0 254 254 255 255 1 114 1 1 255 1 254 255 1 1 2 253 255 254 254 1 255 1 0 1 172 254 1 1 2 1 1 254 255 255 255 1 95 2 255 255 1 254 1 1 1,128 128 175 142 169 128 107 127 138 157 132 138 101 127 116 129 146 108 92 97 105 145 142 146 124 105 123 102 117 137 125 108 137 106 144 135 0 1 114 170 194 254 255 213 226 1 229 199 216 210 227 1 255 156 254 254 0 255 255 255 254 255 255 255 255 255 0 2 254 254 255 255 254 255 179 1 255 0 76 159 160 105 141 138 27 1 70 74 85 64 89 12 62 74 90 79 103 54 41 85 96 97 61 90 0 0 1 176 209 217 224 190 212 185 209 159 137 115 153 125 136 136 145 96 127 130 154 22 81 103 1 104 165 203 184 221 232 205 77 152 104 152 150 164 151 159 108 0 1 157 192 185 1 255 81 254 254 255 255 255 130 1 220 254 255 129 254 225 0 2 1 1 1 255 255 0 255 1 255 254 254 254 255 254 255 255 192 108 152 95 2 143 0 0 1 2 16 27 1 1 2 36 60 117 1 1 1 255 255 254 254 255 255 2 221 255 2 75 78 255 255 255 255 0 1 255 255 255 255 254 1 1 1 69 255 255 254 255 254 255 255 180 1 1 1 1 254 255 255 254 254 254 255 0 0 1 0 1 254 254 254 254 255 0 1 1 1 2 254 0 255 255 1 255 2 62 1 135 254 1 1 255 255 255 1 255 2 255 254 254 255 1 1 1 255 1 255 254 255 255 255 2 1 1 1 1 255 245 254 255 255 255 255 1 1 14 154 254 255 254 255 166 184 152 130 26 1 1 1 0 2 1 1 1 1 0 0 2 149 255 255 254 254 1 255 255 254 255 133 254 255 255 255 255 255 2 1 1 182 254 1 63 142 255 255 1 56 255 1 57 2 255 47 255 254 2 1 84 184 255 255 255 255 2 1 44 254 255 1 1 255 255 254 255 235 189 186 143 1 0 1 1 255 1 227 255 255 255 255 232 1 1 164 215 255 255 1 231 254 255 69 150 232 239 254 0 170 1 5 151 242 255 29 222 218 255 255 254 255 255 253 255 1 1 15 0 254 255 255 254 254 1 1 68 255 255 255 254 0 1 0 78 110 255 255 255 255 1 255 255 254 255 255 255 2 2 0 1 1 255 183 255 1 254 255 1 255 1 255 254 101 255 1 0 255 251 255 0 50 255 255 255 0 254 1 255 1 1 221 254 1 254 1 1 2 255 255 254 254 255 1 0 1 188 255 0 1 1 0 255 254 1 255 0 0 1 208 1 255 2 255 255 254 255 2 255 0 255 255 1 255 12 255 225 0 0 1 1 1 255 254 69 254 255 1 255 255 254 0 255 254 1 255 202 255 254 1 84 0 255 1 255 104 2 254 9 0 98 1 234 1 255 0 1 255 0 254 1 1 254 2 255 2 255 254 255 1 1 254 1 254 1 255 1 254 223 221 255 0 254 254 1 255 254 255 2 1 255 1 1 1 0 255 1 255 94 1 255 1 254 0 1 255 1 1 77 1 255 1 1 0 255 1 255 255 255 255 1 254 1 255 255 255 254 1 0 254 1 254 2 254 0 0 254 1 255 2 254 85 240 255 1 1 1 254 255 214 255 255 1 255 255 48 1 0 0 0 1 1 236 0 255 255 1 255 231 255 255 1 255 1 255 1 1 254 1 255 90 255 255 254 255 1 254 1 1 254 1 255 1 1 255 1 255 1 255 1 246 251 0 254 1 254 255 254 1 0 1 1 254 1 255 1 0 254 254 255 1 254 255 1 1 1 255 255 0 1 0 255 0 1 255 255 255 0 255 1 255 255 255 254 1 254 1 255 0 255 0 153 255 2 1 254 255 209 255 254 1 0 1 254 254 1 255 1 190 1 1 255 1 255 1 1 254 1 254 255 255 255 1 255 0 253 1 1 253 1 1 0 254 27 211 255 255 255 0 1 255 43 255 1 254 1 255 180 1 255 1 254 0 108 57 1 102 1 255 0 0 255 180 254 255 255 255 1 1 254 1 255 1 255 1 1 190 1 255 1 255 0 255 72 254 255 1 222 57 255 1 255 0 255 255 1 255 1 255 255 1 255 1 255 254 1 255 1 254 255 1 255 0 255 1 255 254 1 1 1 255 253 255 254 2 255 1 255 0 255 255 150 255 1 255 1 0 255 86 134 1 1 255 255 255 1 255 254 1 206 174 1 255 1 255 0 1 253 254 2 2 198 1 1 1 255 255 0 254 1 1 255 0 255 1 254 145 1 255 1 254 1 39 254 1 2 2 254 255 254 0 253 2 1 1 1 108 1 254 0 0 1 255 255 1 255 1 254 255 1 255 2 255 254 0 255 2 255 254 255 255 254 76 0 254 0 254 255 1 255 1 0 1 1 252 254 255 1 253 254 255 254 250,128 128 0 0 0 8 37 45 52 56 63 70 75 81 86 90 95 99 104 108 111 114 118 122 125 128 131 134 138 145 149 151 152 156 157 158 161 162 163 166 167 169 169 170 171 172 175 177 178 177 177 182 182 182 183 185 185 186 188 188 188 190 188 191 188 191 191 191 192 192 192 193 193 193 194 196 196 196 198 196 196 196 197 197 199 198 197 199 199 198 198 198 199 200 200 199 201 200 201 202 201 203 200 200 200 200 202 202 200 200 202 200 202 203 200 201 201 200 201 202 201 202 202 201 201 202 202 202 203 202 202 202 203 201 202 203 202 202 203 202 200 203 203 202 202 203 203 202 201 204 204 203 203 202 202 202 203 204 204 202 204 204 204 205 201 202 202 203 204 202 203 202 202 202 204 203 201 204 202 202 204 202 202 203 204 203 202 204 204 203 203 203 203 202 204 202 202 203 203 203 201 203 204 203 202 203 203 202 203 203 203 202 201 204 202 202 204 203 203 203 203 203 201 203 202 204 203 203 204 204 203 203 205 204 202 202 203 203 204 205 203 204 203 202 204 203 203 204 204 203 204 203 204 204 204 204 204 202 204 205 203 202 204 202 201 203 201 203 203 203 203 202 204 203 205 201 202 203 203 203 204 203 205 202 203 203 203 204 202 203 204 202 202 204 203 203 204 202 204 202 204 202 201 204 203 204 205 203 202 202 203 202 204 204 204 203 202 203 203 202 202 203 202 202 201 204 203 203 204 204 202 204 204 205 203 204 203 202 203 202 203 204 202 204 203 204 203 202 204 202 202 202 203 203 203 202 203 202 203 204 203 205 203 204 203 203 202 204 202 203 204 203 202 201 204 203 205 204 204 205 202 202 203 201 203 204 202 203 202 202 203 202 203 204 204 202 203 203 204 203 204 202 203 204 204 204 203 203 204 202 204 203 203 203 203 202 202 202 203 202 203 204 203 203 201 202 201 203 204 203 203 202 204 203 203 202 203 204 202 204 204 203 203 204 203 203 204 203 203 202 204 204 203 203 203 203 203 204 204 203 202 202 202 204 201 204 203 203 205 204 202 204 203 203 203 201 203 202 202 203 203 202 203 202 203 205 203 203 203 202 202 202 203 204 203 202 202 204 203 204 203 204 204 201 204 202 202 203 203 203 204 203 202 203 203 204 203 202 202 202 202 203 202 204 204 203 202 203 202 202 203 202 204 203 202 204 205 202 204 203 201 204 203 203 202 203 205 203 204 203 203 203 204 202 203 204 203 202 203 202 204 203 202 204 202 202 204 203 203 204 202 202 202 202 203 203 202 204 204 203 204 203 202 202 204 203 203 203 203 205 205 204 203 203 204 203 205 203 203 204 202 203 204 204 203 204 203 203 204 203 203 204 203 203 204 203 203 203 203 203 204 204 201 204 204 203 204 204 202 202 202 204 202 202 203 204 204 204 203 202 202 203 202 204 203 203 203 205 204 202 203 204 201 203 202 204 203 204 203 203 203 202 202 204 203 204 203 203 203 203 203 204 203 203 203 203 203 205 203 204 203 202 202 203 202 203 203 203 202 202 204 204 202 204 205 203 203 203 205 204 203 203 203 203 204 202 202 204 202 201 203 203 203 203 203 204 202 202 202 203 204 203 203 203 204 203 203 203 204 202 203 203 204 203 204 204 203 202 204 204 205 205 204 204 203 204 202 202 202 203 202 202 204 203 203 202 202 202 202 203 204 203 205 202 203 203 204 203 202 204 204 203 203 204 204 203 202 204 203 203 204 203 204 203 203 202 202 202 203 202 202 204 203 203 203 203 203 203 203 202 201 205 203 203 202 203 203 203 204 204 204 203 203 202 204 203 204 203 203 203 203 203 203 202 203 203 203 203 203 203 202 202 204 203 203 203 203 202 204 204 203 203 203 202 204 203 203 203 202 203 203 203 204 204 203 202 203 202 202 204 204 203 203 204 203 204 202 203 204 202 203 204 203 203 202 205 202 203 202 203 201 204 203 203 202 201 203 202 203 204 202 203 203 204 203 204 204 203 205 203 204 202 202 203 203 204 204 202 203 201 204 203 204 202 204 203 201 203 202 203 202 202 203 202 204 203 205 203 203 202 204 204 202 203 204 202 202 203 203 204 202 203 204 203 202 204 203 203 203 203 203 204 202 204 203 202 204 202 203 204 205 203 204 203 202 204 202 202 203 204 204 203 203 204 203 203 203 203 204 203 202 202 203 203 203 204 202 203 204 204 203 202 203 203 202 202 204 203 204 202 202 203 203 204 204 202 204 203 202 204 203 203 202 201 204 203 201 204 204 202 202 203 204 203 204 203 201 203 202 203 204 203 203 203 204 202 204 204 203 202 203 203 204 202 204 203 202 202 204 204 206 204 203 203 201 203 202 203 201 203 203 204 205 203 201 204 203 202 202 204 203 205 204 205 202 203 203 203 202 203 203 203 203 202 202 203 203 203 204 203 203 203 203 203 203 201 204 205 204 204 204 204
10,10,5
1,1,1
