ecg,eeg,gsr
128 128 0 255 1 1 1 1 254 255 254 253 47 1 254 255 254 226 1 2 1 1 1 0 255 1 1 0 2 255 255 254 255 255 149 1 0 255 255 253 1 1 2 1 255 255 255 255 1 254 254 255 255 255 251 2 0 1 0 250 1 1 2 1 255 255 252 255 255 216 2 1 255 254 102 1 2 1 2 254 255 255 231 1 1 1 254 255 254 255 2 1 1 1 255 0 21 1 1 1 1 255 255 255 255 2 255 254 254 255 72 26 1 2 1 1 255 1 1 1 1 254 255 255 255 96 235 1 1 254 253 255 1 255 2 1 254 1 254 254 1 2 1 254 255 254 254 108 1 1 1 1 254 254 233 1 1 1 1 254 1 251 118 167 254 3 94 254 217 251 1 0 96 1 254 255 254 1 254 136 1 1 254 1 0 1 76 254 254 1 0 2 1 253 0 255 3 1 1 2 1 254 252 253 252 1 1 0 1 1 255 255 1 1 1 101 1 255 254 255 253 255 1 1 7 254 1 1 1 1 1 2 255 254 255 255 1 1 94 82 254 254 216 255 1 0 11 255 8 1 2 1 0 2 255 254 254 255 2 1 142 252 255 116 254 1 1 2 1 254 1 217 1 2 1 1 255 255 255 254 1 1 254 254 255 250 255 1 1 1 2 1 254 2 11 1 0 254 1 254 255 254 255 1 1 255 254 223 1 255 1 1 254 1 255 9 1 2 0 250 255 136 254 1 1 1 1 2 238 253 0 1 1 1 113 254 131 255 227 1 253 255 255 255 1 255 1 1 254 0 254 255 2 1 1 253 254 255 116 1 254 0 1 1 254 255 123 1 2 2 1 251 2 254 254 1 255 255 254 255 92 112 2 1 1 1 255 1 1 1 198 211 255 254 255 3 212 1 1 255 255 232 1 1 1 1 255 154 255 255 1 144 1 255 1 255 255 1 1 0 6 255 1 252 1 1 60 1 4 254 254 254 254 2 247 0 254 253 254 254 1 1 1 2 140 1 254 1 1 1 14 1 255 254 255 255 2 253 0 255 254 255 254 1 101 1 2 253 1 254 1 1 1 1 254 1 255 252 1 254 1 255 108 166 254 1 1 1 2 202 254 0 1 1 254 1 166 115 91 255 0 1 1 255 1 93 1 2 1 1 255 1 255 252 24 255 1 253 255 5 80 7 1 12 1 1 138 1 230 1 1 1 1 255 1 254 252 1 255 1 254 1 2 254 1 1 1 0 255 0 141 0 1 2 5 255 255 252 254 1 1 254 253 4 1 1 1 1 1 255 255 254 255 1 1 2 254 3 255 1 2 254 0 144 255 1 255 2 1 1 1 165 254 254 1 222 255 1 255 254 255 1 1 1 1 1 254 0 253 1 1 0 2 255 255 255 254 242 3 1 255 255 255 253 1 1 1 1 1 1 254 1 1 3 2 0 254 253 254 254 1 1 255 249 2 1 1 1 14 255 255 255 255 1 254 255 255 255 1 109 1 17 1 0 174 253 2 1 0 2 255 4 255 254 255 254 1 1 255 255 1 1 254 2 2 255 1 255 255 1 1 1 7 255 255 255 255 86 1 1 1 254 255 100 1 1 1 1 251 2 254 255 1 255 1 255 3 255 255 1 1 1 1 140 1 254 0 1 1 1 0 254 253 253 255 1 220 0 255 1 254 255 1 1 0 1 255 255 0 1 7 1 254 93 254 255 1 255 1 1 1 254 254 1 1 1 1 254 1 252 255 119 254 2 253 255 255 2 0 0 1 1 2 31 255 1 1 3 1 251 255 255 250 110 255 0 255 254 255 1 0 1 1 1 1 254 1 152 1 1 1 6 255 255 253 114 1 255 255 252 255 1 254 1 1 1 0 121 253 1 0 0 254 1 255 254 2 255 1 1 254 2 255 1 2 1 1 1 255 99 255 255 1 255 0 254 131 1 255 1 1 1 1 255 249 1 1 15 251 1 254 250 1 253 1 1 255 254 252 23 0 1 1 0 1 148 255 255 1 2 1 255 8 255 255 254 217 1 1 254 255 65 1 1 1 1 217 254 254 3 1 255 1 255 254 92 255 1 1 0 2 255 252 1 0 17 249 1 254 254 255 1 2 1 1 255 250 0 1 1 1 1 255 239 254 255 3 1 254 250 4 255 255 1 119 1 1 255 1 255 1 1 1 2 255 5 255 116 1 199 1 254 254 1 255 1 1 0 1 1 255 1 125 1 0 1 1 254 251 255 255 1 1 255 255 254 255 1 108 1 3 254 1 255 255 2 1 1 255 251 169 255 1 255 2 2 254 0 255 1 1 0 2 255 4 254 1 2 253 1 255 112 254 48 1 1 2 1 249 1 255 1 1,128 128 255 255 255 255 1 255 255 0 254 1 255 255 0 94 1 250 0 255 1 1 1 219 255 254 254 2 255 254 0 1 45 1 255 255 255 1 1 167 255 255 1 255 254 1 1 217 255 1 0 1 66 1 255 1 181 1 255 255 255 255 1 254 255 1 1 207 1 255 255 255 136 1 254 1 255 1 0 2 1 1 255 1 2 0 1 109 0 255 254 255 1 194 255 255 254 1 2 0 0 1 255 1 255 18 2 1 1 227 2 254 255 253 1 255 1 254 255 255 255 255 1 1 1 1 76 254 1 1 255 1 254 0 255 254 1 172 1 0 247 2 254 1 254 186 0 255 1 254 1 255 1 1 255 1 255 1 254 2 254 254 255 255 254 254 254 254 255 255 253 221 128 1 1 1 0 0 1 1 2 0 1 0 1 1 0 1 0 1 1 1 1 0 1 2 1 2 1 0 1 1 39 2 0 255 235 255 74 0 255 1 1 255 1 2 197 2 1 1 1 52 255 255 1 255 59 254 255 255 255 255 255 43 0 255 255 1 1 1 254 1 1 1 255 1 1 107 1 255 2 255 255 0 2 2 1 255 1 254 1 1 255 2 255 1 254 1 254 255 1 255 2 254 254 1 255 2 255 1 255 255 1 254 1 255 0 255 255 1 255 254 255 255 255 0 1 1 1 1 1 1 0 1 1 1 0 1 255 115 255 255 1 34 255 0 254 1 255 255 1 254 0 254 45 255 255 52 255 0 255 254 1 254 1 255 1 1 255 0 255 1 62 225 255 254 1 255 1 254 1 1 255 1 238 1 173 1 254 1 1 1 1 0 1 1 17 93 255 255 255 254 255 255 254 254 255 254 255 255 255 255 255 255 255 255 255 255 1 1 1 1 0 255 255 255 255 0 254 255 1 254 1 254 255 63 254 1 1 1 254 255 1 1 0 1 35 255 1 255 1 2 2 1 1 1 1 2 1 1 0 0 0 1 1 24 0 1 255 70 2 255 1 255 1 255 255 255 255 255 254 255 254 1 1 255 1 1 1 255 1 1 198 1 254 2 253 255 1 255 1 140 255 1 254 2 254 1 254 1 14 2 1 255 1 255 255 1 255 0 2 254 1 255 1 82 1 2 254 98 255 255 1 207 1 255 254 102 255 216 0 0 1 1 255 1 255 1 1 254 41 254 1 255 6 255 254 254 254 254 255 0 255 1 1 0 2 254 255 0 1 1 255 2 255 1 255 54 243 255 198 255 36 1 2 1 0 1 1 255 1 2 1 1 255 117 255 1 5 255 255 1 228 0 1 1 2 1 1 0 1 1 1 254 1 255 255 254 255 255 255 254 1 255 123 255 1 223 1 1 189 1 254 225 1 1 1 1 255 0 1 1 1 0 0 1 1 1 255 255 255 255 254 255 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 254 254 255 254 255 3 254 255 254 254 255 255 255 255 255 1 1 1 1 1 1 0 2 2 1 1 1 1 1 1 0 1 0 1 2 1 1 1 1 1 1 1 0 1 2 0 1 2 1 1 16 255 255 0 252 254 254 254 255 255 255 255 255 255 255 255 255 255 1 255 0 220 254 2 255 1 59 2 1 1 255 1 254 1 255 1 1 255 1 255 142 1 1 2 1 1 1 1 1 255 0 255 105 254 255 199 1 1 255 255 254 79 1 8 1 255 1 255 239 195 255 153 254 93 255 255 255 254 254 3 255 255 1 254 1 37 2 254 1 255 1 255 46 255 1 0 254 1 254 1 255 2 254 254 1 1 1 0 0 255 0 253 1 1 1 1 255 1 255 255 255 255 142 254 255 255 255 1 1 0 255 0 255 254 255 254 255 2 254 254 255 189 0 94 1 39 1 94 1 255 1 255 9 255 255 254 255 2 1 1 255 1 1 1 1 1 1 255 2 254 255 1 254 1 1 255 1 255 1 255 1 1 254 1 255 255 1 1 2 255 254 255 255 1 254 1 254 1 255 255 74 1 2 255 75 1 254 2 255 123 0 255 1 255 254 255 1 1 255 1 255 1 255 1 0 255 1 255 254 255 255 1 254 255 49 255 1 254 1 1 255 1 255 1 163 255 1 254 1 255 255 1 255 1 1 255 2 254 1 2 195 1 174 57 255 1 254 1 254 255 255 254 1 255 255 0 255 2 255 1 184 255 2 255 0 255 1 255 1 254 255 1 254 1 157 254 1 255 1 254 1 254 117 1 255 1 255 1 255 1 255 40 1 255 1 254 255 56 255 1 1 1 255 255 255 254 1 255 1 255 255 255 254 255 255 254 175 255 255 254 255 253 255 255 255 255 56 2 1 1 0 1 1,128 128 0 0 6 16 25 31 40 49 55 62 68 75 80 86 92 110 114 119 122 126 129 134 138 139 141 144 146 149 153 154 156 158 159 163 164 165 168 172 175 176 176 177 180 180 181 183 182 185 184 186 186 188 187 189 189 190 189 192 191 191 194 195 196 196 196 195 198 197 198 197 199 198 199 200 198 200 199 200 201 200 200 201 202 201 201 201 201 201 201 203 202 200 202 202 201 204 203 203 205 203 203 205 203 204 204 204 204 203 203 204 205 205 204 204 204 204 206 203 205 206 204 205 204 206 205 204 207 205 205 206 205 202 205 207 206 205 205 205 203 205 204 204 205 206 204 203 205 205 206 204 205 204 204 203 206 205 205 206 205 206 205 205 204 204 205 204 206 204 204 206 205 205 205 203 206 206 206 205 204 204 205 205 205 206 205 204 204 204 206 206 205 207 205 204 205 205 205 207 206 206 205 205 205 205 205 206 206 206 204 204 206 206 204 206 204 205 205 205 204 204 206 205 204 204 206 206 204 206 204 205 206 205 206 206 206 205 204 204 206 204 204 206 205 204 206 204 205 206 204 205 206 205 206 206 205 206 205 204 204 206 204 205 206 206 207 205 206 205 204 206 205 207 206 205 204 204 205 206 205 204 206 205 204 203 205 206 206 205 204 203 205 205 205 205 206 206 204 205 205 207 205 206 204 204 206 206 205 204 206 205 204 204 205 206 207 206 206 204 204 205 206 205 205 205 205 205 204 205 206 205 205 205 204 207 204 205 204 205 206 204 205 205 205 205 206 204 205 204 204 204 203 205 205 207 206 206 205 206 206 204 204 205 204 206 205 206 206 204 206 205 204 207 205 206 205 206 205 204 204 206 207 204 207 204 204 206 205 205 204 204 205 204 204 206 204 205 206 207 206 204 205 204 205 207 206 206 205 204 204 205 205 204 204 206 206 204 206 205 205 204 207 207 205 204 206 207 205 206 205 204 205 205 204 206 204 204 206 204 205 204 206 206 205 204 205 205 207 205 205 204 205 206 206 203 205 205 205 204 205 205 203 203 205 206 205 206 205 204 203 206 206 205 206 204 204 204 204 206 206 205 205 206 207 205 204 206 205 205 206 205 204 203 205 204 207 206 206 205 206 204 205 204 204 205 205 204 206 206 205 205 206 204 204 206 206 205 206 206 206 204 205 206 204 206 205 206 204 205 206 205 205 205 205 203 205 205 206 206 206 206 206 205 205 205 204 203 205 207 205 206 205 204 205 203 205 207 204 204 206 205 206 205 206 206 204 204 204 206 205 206 204 204 206 203 206 205 204 205 205 205 204 204 205 203 204 206 204 205 206 205 205 206 205 205 207 205 205 204 203 206 205 205 206 204 205 205 205 205 204 204 205 207 203 206 204 204 205 204 204 204 206 206 206 206 205 203 206 206 205 204 206 205 203 205 204 203 206 204 206 205 206 205 203 207 207 204 206 205 205 204 205 206 206 205 204 205 204 204 205 204 205 204 204 204 204 205 206 205 206 205 204 206 205 204 205 206 206 205 204 206 203 206 205 204 206 206 205 205 205 205 204 206 207 205 207 206 206 205 204 205 204 204 206 207 203 205 204 204 205 204 205 205 205 204 204 204 205 204 203 205 207 205 206 205 206 204 205 205 205 205 206 204 206 204 205 205 204 204 205 203 205 206 205 205 206 205 204 203 205 205 203 204 205 205 205 206 205 205 205 205 206 207 205 205 205 205 204 204 206 204 205 204 205 205 205 203 205 206 204 205 205 207 205 204 205 205 205 206 205 207 205 206 204 206 204 204 205 204 206 204 206 205 205 206 204 205 206 204 205 204 205 205 205 205 205 204 204 204 205 205 205 205 205 204 205 206 206 206 204 205 204 203 205 207 204 205 204 204 204 205 205 204 207 205 205 205 205 205 205 205 205 206 205 205 204 204 206 205 206 204 206 204 203 206 205 205 205 205 204 204 204 205 205 205 205 204 204 205 204 204 205 205 204 203 204 205 204 206 205 204 204 206 205 204 206 203 206 204 204 206 206 205 206 204 204 204 205 204 207 204 206 204 205 206 205 205 205 204 205 205 206 205 204 204 206 204 205 205 205 205 205 206 206 206 205 204 205 205 205 206 205 206 204 206 205 206 204 205 205 207 203 205 204 207 204 204 204 203 206 205 206 206 205 204 205 204 205 205 205 206 205 207 207 205 205 205 205 204 205 205 205 207 205 205 204 204 205 206 203 206 205 204 203 205 205 205 206 206 204 204 206 205 205 206 205 204 203 204 205 205 205 206 204 204 203 205 206 204 206 206 204 204 204 206 207 205 206 206 205 204 204 205 206 204 205 207 205 205 204 206 206 207 204 204 204 204 206 205 205 204 204 205 205 204 206 205 205 205 205 204 207 205 205 207 204 206 205 204 207 204 206 205 204 205 205 205 206 205 204 204 205 205 204 205 205 205 204 203 206 204 206 206 205 204 206 206 203 206 205 206 204
10,10,5
1,1,1
