ecg,eeg,gsr
128 128 254 254 255 0 254 255 254 255 255 1 2 2 0 1 254 255 0 1 2 245 254 255 255 195 255 2 1 254 254 255 3 255 1 2 1 1 254 254 1 1 1 83 255 255 255 255 254 1 0 255 254 254 3 1 2 1 13 2 254 255 2 1 1 255 2 254 254 80 255 1 2 254 255 254 2 2 2 2 2 3 254 255 2 2 2 255 2 255 255 210 255 15 2 2 255 255 254 1 1 1 1 3 255 255 255 176 10 2 255 253 255 254 3 1 2 1 1 254 1 108 2 2 3 3 255 254 255 253 2 255 62 254 254 2 255 1 1 254 2 255 254 2 1 2 255 255 255 254 2 253 1 2 254 1 255 1 1 2 1 255 254 255 254 0 255 5 255 235 1 255 2 1 1 1 254 254 1 2 2 222 254 254 255 241 255 1 2 1 255 255 255 1 1 2 125 254 255 254 255 4 1 255 254 255 254 254 2 0 1 1 245 254 5 1 2 1 255 1 255 254 255 255 2 255 255 255 255 255 2 2 2 2 154 1 255 1 2 0 2 1 255 255 254 255 1 1 255 254 254 253 255 0 3 3 1 255 255 202 124 1 254 254 254 254 2 1 3 1 4 197 255 0 1 2 1 1 254 255 254 255 2 255 255 254 249 255 1 2 2 2 124 255 1 2 2 2 2 254 254 254 255 249 3 254 255 255 255 254 244 1 1 2 2 255 255 2 1 1 8 1 254 255 254 254 45 1 254 253 255 1 255 2 1 0 2 254 254 2 2 2 2 255 1 254 255 2 254 1 2 255 255 255 2 1 2 1 255 2 255 254 145 166 2 255 255 255 255 120 1 143 2 1 254 255 3 1 2 2 2 255 1 255 254 2 1 1 255 254 255 255 255 83 2 1 255 255 255 2 1 2 1 255 255 255 254 67 254 0 255 255 3 255 2 1 3 1 253 253 2 1 2 254 1 255 255 255 255 115 1 254 254 254 254 1 2 1 0 255 255 254 255 2 2 1 255 255 255 255 0 255 3 2 255 254 206 2 2 1 1 255 255 255 255 2 2 255 255 255 168 255 1 2 2 1 114 254 1 1 3 33 2 1 255 255 255 254 1 254 254 255 33 255 2 1 2 1 254 255 1 2 2 254 253 254 255 2 255 1 2 17 149 254 1 2 2 1 187 255 255 255 253 1 254 1 255 255 208 255 2 1 2 2 1 255 1 252 3 3 254 2 254 253 255 254 2 1 255 254 255 243 255 1 1 1 2 2 254 255 1 2 1 254 254 255 255 1 255 2 1 255 254 253 2 1 1 2 255 255 255 255 2 254 1 254 255 255 253 2 2 1 2 255 1 198 1 2 254 87 255 254 255 255 2 255 250 255 254 254 254 1 2 2 1 255 255 1 1 2 1 1 146 255 254 255 254 2 255 254 254 4 1 1 2 2 1 237 255 255 119 1 255 255 255 254 2 1 1 1 2 255 1 254 2 1 254 1 254 254 123 255 1 2 255 254 254 249 1 2 1 1 1 2 255 255 1 1 1 253 253 254 247 1 120 1 2 253 254 252 1 2 1 1 255 6 254 254 1 69 2 254 255 254 255 3 255 1 1 255 2 255 2 2 2 2 1 254 255 255 254 2 254 254 254 254 1 253 1 1 1 2 255 254 1 1 2 254 2 255 254 255 255 1 2 254 255 253 171 1 1 1 1 255 171 254 254 2 1 2 255 255 255 199 3 3 2 2 254 2 1 1 2 2 27 255 255 254 254 1 255 255 254 255 2 247 2 2 0 2 254 255 1 2 1 254 0 255 254 253 255 2 2 1 254 254 113 2 1 1 2 255 251 255 255 1 2 1 255 255 255 254 1 28 2 2 223 255 255 2 1 2 3 254 52 255 255 2 254 1 255 255 255 253 2 2 1 1 254 2 1 1 2 255 2 254 255 255 255 1 2 255 255 255 2 248 0 1 254 1 254 255 2 1 1 255 255 254 255 1 255 0 1 254 255 255 1 153 2 1 1 2 254 255 2 1 1 255 254 255 255 2 83 1 2 255 255 189 1 3 2 1 255 255 255 255 1 255 254 255 255 255 254 2 1 2 1 255 255 1 0 1 2 255 254 255 255 1 255 2 1 255 255 255 1 1 1 1 255 1 255 254 26 254 2 255 254 254 255 1 1 1 1 254 1 255 1 2 1 2 255 101 255 255 1 255 1 255 255 255 255 1 1 1 2 2 255 1 2 1 2 254 2 254 254 1 254 1 2 255 255 255 221 1 2 2 0 1 129 254 255 1 1 109 255 254 255 250 1 1 1 2 255 1 119 1 2 255 2 255 255 255 242 1,128 128 255 255 255 255 1 1 242 1 90 1 12 2 254 1 1 2 1 0 0 253 0 254 254 132 255 1 0 0 0 255 1 255 255 254 254 1 254 255 0 253 1 254 2 254 1 2 255 0 2 255 117 255 255 255 255 1 255 1 30 1 254 255 18 254 254 1 89 0 255 1 255 254 0 255 116 255 87 1 255 1 236 1 254 255 0 254 255 1 174 1 255 1 255 1 1 255 1 255 255 175 1 96 2 212 254 2 194 2 247 255 2 255 1 255 248 255 255 1 255 1 255 138 255 254 137 254 246 1 255 1 254 1 1 255 0 255 1 254 254 0 253 1 255 1 1 255 1 255 145 0 234 0 120 69 0 253 255 255 1 255 255 1 55 208 0 255 1 255 1 255 80 1 255 1 241 1 255 255 1 255 1 1 2 2 255 21 254 157 0 1 0 255 1 144 255 254 254 254 254 255 255 255 254 219 1 2 1 1 1 0 1 1 0 0 1 1 1 1 254 1 1 0 1 1 1 2 1 1 1 2 0 0 0 1 2 1 1 1 153 0 91 55 1 255 1 254 1 225 0 255 255 187 1 255 255 254 1 254 255 255 255 84 161 60 254 1 254 255 255 255 255 255 1 255 254 253 0 140 1 255 254 160 255 1 255 1 197 1 246 1 254 18 1 37 0 255 107 200 0 103 1 221 255 0 1 1 120 0 79 254 255 254 255 255 1 1 123 1 255 255 255 0 255 1 254 75 1 0 0 1 254 255 1 254 255 177 0 1 84 2 254 1 255 0 255 254 254 1 254 253 1 255 255 255 1 254 1 255 1 1 1 255 255 255 1 1 1 166 0 1 0 255 1 255 0 254 0 254 254 1 255 1 255 255 254 255 255 254 254 255 255 255 255 165 1 2 1 0 0 1 1 0 2 1 1 1 1 0 255 1 0 1 1 0 0 27 1 254 171 2 174 1 255 2 255 255 1 219 255 254 133 0 1 255 254 255 123 255 1 254 12 1 255 1 254 1 254 1 156 1 255 0 177 38 254 255 254 255 1 0 254 2 1 1 1 0 1 0 1 1 116 0 255 2 255 1 1 255 1 255 1 1 1 1 153 213 254 255 254 255 254 255 255 255 255 255 254 255 254 121 255 255 255 255 255 255 254 254 255 254 255 255 254 1 254 0 255 1 1 1 255 1 0 212 1 0 1 1 1 0 255 1 254 1 0 1 1 1 0 254 0 1 1 1 0 1 1 255 189 254 255 255 1 254 255 255 171 255 255 1 254 255 140 0 255 1 255 1 255 255 74 254 255 255 1 56 2 32 1 254 167 1 255 1 234 1 160 0 234 1 254 1 255 1 255 1 255 255 1 144 1 255 225 1 255 2 1 1 201 1 0 0 1 91 1 2 1 0 253 0 255 1 255 254 1 255 255 97 255 1 254 1 7 254 0 254 1 255 254 255 255 1 1 193 0 1 0 1 254 1 255 1 255 254 255 254 102 23 1 255 1 253 1 1 1 1 65 1 1 254 1 255 1 207 255 1 255 1 255 1 1 254 1 143 255 2 95 1 255 254 254 255 1 254 0 230 0 255 255 254 255 1 255 0 255 174 0 255 0 255 48 255 254 0 255 2 255 1 254 254 1 255 1 255 254 1 255 1 254 1 223 1 255 92 1 204 255 1 175 1 255 254 1 0 1 155 1 255 1 255 255 1 255 1 255 255 1 255 1 255 1 1 255 101 255 255 1 255 1 255 255 79 255 1 1 1 1 255 0 165 1 1 255 109 254 157 64 255 1 254 1 254 1 254 255 1 173 1 255 0 255 254 1 255 1 254 1 254 255 1 255 2 255 254 233 255 1 255 0 2 213 1 255 255 17 2 1 255 1 1 255 0 255 1 255 11 255 254 1 255 144 0 255 125 255 1 203 255 2 255 255 2 255 2 255 255 0 254 0 138 0 255 51 2 254 1 1 255 1 255 1 255 1 254 254 140 1 255 1 255 1 255 1 0 253 77 255 254 0 255 1 1 255 25 255 1 255 0 1 255 2 255 254 1 255 138 255 255 1 255 0 254 1 0 253 1 254 1 254 255 1 255 1 254 0 255 1 1 1 1 255 0 254 1 255 103 0 254 0 255 1 1 255 1 254 1 255 254 164 255 138 255 255 0 255 1 255 224 1 255 1 255 172 1 255 1 254 254 52 254 1 255 1 255 254 0 254 254 0 255 253 52 1 254 1 254 1 116 220 1 255 2 255 1 255 0 1 1 55 255 1 255 1 92 255 0 255 0 255 255 1 255 1 1 1 1 255 1 254 254 0 254 1 255 1 254 255 1 255 1 2 255,128 128 0 0 0 7 17 25 33 40 48 55 61 67 72 77 83 88 92 97 102 106 110 114 127 130 133 137 139 142 145 147 148 151 154 154 157 159 162 162 164 166 167 168 171 171 172 177 177 178 179 181 181 182 184 185 184 185 187 187 186 188 189 189 190 191 190 190 191 194 195 194 195 196 194 195 196 196 197 197 197 196 196 199 197 198 199 199 199 198 198 200 200 200 200 199 201 201 200 200 201 201 200 200 201 202 201 201 203 202 201 201 202 202 202 201 202 202 202 201 202 204 202 202 203 204 202 203 202 202 203 204 202 202 203 202 201 202 203 203 203 204 203 203 202 203 203 202 203 204 203 203 202 204 203 202 203 203 203 202 203 203 203 204 203 202 204 203 202 204 203 203 203 203 203 203 204 204 204 204 203 204 204 202 203 203 204 203 204 203 203 204 203 203 203 204 203 204 203 203 203 203 202 202 203 203 204 203 203 204 203 202 202 203 202 205 203 203 203 205 203 203 204 204 203 203 204 203 203 204 203 204 202 203 204 203 203 205 202 203 202 202 203 203 205 203 204 203 204 203 203 203 204 204 203 203 203 204 204 204 204 202 204 203 203 204 203 202 202 203 205 202 203 204 204 204 205 203 203 203 203 203 203 203 204 203 203 203 203 202 205 203 202 205 204 204 203 203 204 202 204 204 203 203 204 204 203 203 202 203 202 204 203 203 203 204 203 202 204 205 203 203 204 204 204 203 204 203 203 204 204 202 203 204 204 202 203 205 203 203 204 204 203 204 203 202 204 203 203 202 203 203 203 202 204 204 203 204 203 203 203 204 202 204 203 204 203 203 204 203 203 204 203 204 205 203 203 203 203 203 204 202 204 203 204 203 203 203 202 204 203 203 204 203 203 205 203 204 202 204 203 203 204 203 203 203 202 203 205 203 203 203 202 204 203 204 203 202 202 203 202 203 205 203 204 204 202 204 203 204 204 203 204 203 203 204 203 204 204 203 203 201 203 204 203 203 204 204 203 203 203 203 202 203 204 202 202 203 204 203 205 203 204 204 203 203 202 204 204 203 203 205 203 204 205 203 204 202 202 202 203 203 203 204 203 204 202 202 203 204 203 203 202 203 203 204 202 203 204 203 203 205 204 203 204 204 203 202 204 203 203 204 203 205 202 204 204 204 204 203 202 202 204 205 203 204 204 204 202 202 203 204 203 203 203 204 204 204 204 203 203 204 203 203 203 201 204 202 205 203 205 203 204 203 203 203 204 203 202 204 204 205 204 203 203 203 204 203 205 204 202 203 203 202 203 201 203 204 202 202 205 204 203 205 203 203 203 202 204 204 205 204 203 203 202 204 203 203 203 204 203 203 203 204 202 205 203 204 202 202 204 203 203 204 204 203 203 203 204 203 204 203 204 204 203 203 203 204 204 202 203 203 203 205 205 204 202 203 203 202 204 204 203 203 203 204 202 202 204 204 204 204 203 204 203 203 201 203 204 203 202 204 202 202 204 203 203 203 203 204 203 202 204 203 203 203 203 203 204 204 202 203 203 202 204 203 204 203 203 204 204 204 204 203 203 202 204 204 203 203 204 204 202 203 203 203 205 204 203 204 204 204 203 203 204 205 203 203 204 203 203 203 203 204 203 204 202 202 204 202 203 203 202 203 204 204 204 204 204 203 203 203 203 203 203 204 203 204 204 204 204 203 203 203 204 203 203 204 203 203 204 204 203 203 204 204 205 203 202 202 202 203 204 203 203 204 203 203 203 204 203 202 204 204 204 203 203 204 201 203 205 202 204 204 204 204 203 203 203 203 204 204 203 204 203 204 204 203 202 204 203 203 204 203 204 203 204 204 203 203 204 205 203 204 205 202 203 205 203 204 203 204 203 204 203 202 202 203 203 203 204 202 203 202 202 204 204 202 204 204 203 204 203 204 203 202 204 202 203 203 203 203 205 204 203 203 203 204 203 203 204 203 204 204 203 204 204 202 203 204 203 202 205 202 204 202 202 204 204 203 203 204 203 202 203 203 203 203 204 203 203 203 205 203 205 204 204 202 203 204 205 203 204 203 203 202 203 203 204 203 203 205 203 203 202 203 202 205 203 204 203 203 202 203 202 204 203 203 204 203 204 203 204 204 203 203 203 203 202 202 203 204 203 203 204 204 203 202 204 203 202 203 203 203 205 203 204 203 203 204 202 203 203 204 203 204 204 203 202 203 203 203 203 202 204 203 203 204 203 203 203 202 204 204 204 204 204 205 203 204 204 204 204 202 202 206 203 204 204 204 202 203 203 204 202 203 204 203 203 204 202 202 203 203 203 205 203 204 203 204 204 203 203 202 203 203 204 203 204 204 203 204 203 204 202 204 202 204 204 202 204 204 204 203 202 205 202 204 204 203 205 203 203 204 204 203 204 204 203 203 204 203 202 201 203 203 203 202 203 204 203 204 202 202 203 202 203 203 203 204 202 203 204 203 203 202 204 204 203 204 204
10,10,5
1,1,1
